ì˙ït,éûä‘,çáåv,íjê´,èóê´,20ë„,30ë„,40ë„,50ë„,60ë„,70çŒà»è„,ãèèZé“,ãŒñ±é“,óàäXé“,ïΩãœíjê´,ïΩãœèóê´,ïΩãœ20ë„,ïΩãœ30ë„,ïΩãœ40ë„,ïΩãœ50ë„,ïΩãœ60ë„,ïΩãœ70çŒà»è„,ïΩãœãèèZé“,ïΩãœãŒñ±é“,ïΩãœóàäXé“
2024-10-01,16éûîº,1598,534,1064,421,465,495,177,0,39,39,450,1109,534,1064,421,465,495,177,0,39,39,450,1109
2024-10-01,17éû,1884,533,1351,421,566,623,233,0,39,182,450,1251,533,1351,421,566,623,233,0,39,182,450,1251
2024-10-01,17éûîº,1597,380,1217,342,566,473,141,0,73,182,485,929,380,1217,342,566,473,141,0,73,182,485,929
2024-10-01,18éû,1288,474,814,159,566,344,146,0,73,182,485,621,474,814,159,566,344,146,0,73,182,485,621
2024-10-01,18éûîº,1432,478,954,360,465,344,126,37,99,143,384,905,478,954,360,465,344,126,37,99,143,384,905
2024-10-01,19éû,1200,298,902,360,322,452,0,0,65,184,384,631,298,902,360,322,452,0,0,65,184,384,631
2024-10-01,19éûîº,1773,534,1239,745,383,471,77,29,65,228,384,1161,534,1239,745,383,471,77,29,65,228,384,1161
2024-10-01,20éû,1815,728,1087,614,466,543,96,29,65,266,384,1164,728,1087,614,466,543,96,29,65,266,384,1164
2024-10-01,20éûîº,1570,700,870,463,466,543,67,29,0,266,384,919,700,870,463,466,543,67,29,0,266,384,919
2024-10-01,21éû,1345,532,813,463,294,451,136,0,0,61,384,899,532,813,463,294,451,136,0,0,61,384,899
2024-10-01,21éûîº,998,334,664,485,204,174,103,29,0,0,207,791,334,664,485,204,174,103,29,0,0,207,791
2024-10-01,22éû,841,384,457,485,61,110,146,37,0,0,0,841,384,457,485,61,110,146,37,0,0,0,841
2024-10-01,22éûîº,524,454,70,136,213,104,70,0,0,136,82,305,454,70,136,213,104,70,0,0,136,82,305
2024-10-01,23éû,215,181,34,0,131,50,34,0,0,0,0,216,181,34,0,131,50,34,0,0,0,0,216
2024-10-01,23éûîº,215,181,34,0,131,50,34,0,0,0,0,216,181,34,0,131,50,34,0,0,0,0,216
2024-10-01,24éû,227,193,34,0,131,61,34,0,0,61,0,165,193,34,0,131,61,34,0,0,61,0,165
2024-10-01,24éûîº,157,123,34,0,61,61,34,0,0,61,0,96,123,34,0,61,61,34,0,0,61,0,96
2024-10-01,25éû,275,132,143,70,204,0,0,0,0,143,0,132,132,143,70,204,0,0,0,0,143,0,132
2024-10-01,25éûîº,275,132,143,70,204,0,0,0,0,143,0,132,132,143,70,204,0,0,0,0,143,0,132
2024-10-01,26éû,275,132,143,70,204,0,0,0,0,143,0,132,132,143,70,204,0,0,0,0,143,0,132
2024-10-01,26éûîº,301,158,143,70,204,0,0,26,0,143,0,158,158,143,70,204,0,0,26,0,143,0,158
2024-10-01,27éû,275,132,143,70,204,0,0,0,0,143,0,132,132,143,70,204,0,0,0,0,143,0,132
2024-10-01,27éûîº,275,132,143,70,204,0,0,0,0,143,0,132,132,143,70,204,0,0,0,0,143,0,132
2024-10-01,28éû,275,132,143,70,204,0,0,0,0,143,0,132,132,143,70,204,0,0,0,0,143,0,132
2024-10-01,28éûîº,275,132,143,70,204,0,0,0,0,143,0,132,132,143,70,204,0,0,0,0,143,0,132
2024-10-02,5éû,70,70,0,70,0,0,0,0,0,0,0,70,70,0,70,0,0,0,0,0,0,0,70
2024-10-02,5éûîº,70,70,0,70,0,0,0,0,0,0,0,70,70,0,70,0,0,0,0,0,0,0,70
2024-10-02,6éû,70,70,0,70,0,0,0,0,0,0,0,70,70,0,70,0,0,0,0,0,0,0,70
2024-10-02,6éûîº,70,70,0,70,0,0,0,0,0,0,0,70,70,0,70,0,0,0,0,0,0,0,70
2024-10-02,7éû,70,70,0,70,0,0,0,0,0,0,0,70,70,0,70,0,0,0,0,0,0,0,70
2024-10-02,7éûîº,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-02,8éû,152,51,101,0,101,51,0,0,0,0,153,0,51,101,0,101,51,0,0,0,0,153,0
2024-10-02,8éûîº,268,167,101,0,101,167,0,0,0,0,215,53,167,101,0,101,167,0,0,0,0,215,53
2024-10-02,9éû,152,51,101,0,101,51,0,0,0,0,153,0,51,101,0,101,51,0,0,0,0,153,0
2024-10-02,9éûîº,364,191,173,0,183,108,37,0,35,0,247,117,191,173,0,183,108,37,0,35,0,247,117
2024-10-02,10éû,450,312,138,0,183,108,97,27,33,0,247,203,312,138,0,183,108,97,27,33,0,247,203
2024-10-02,10éûîº,435,258,177,0,183,108,109,0,33,0,247,188,258,177,0,183,108,109,0,33,0,247,188
2024-10-02,11éû,620,311,309,0,251,108,109,94,56,0,247,373,311,309,0,251,108,109,94,56,0,247,373
2024-10-02,11éûîº,1550,657,893,484,334,378,141,115,96,39,373,1137,657,893,484,334,378,141,115,96,39,373,1137
2024-10-02,12éû,1520,482,1038,336,448,390,207,115,22,61,373,1085,482,1038,336,448,390,207,115,22,61,373,1085
2024-10-02,12éûîº,1355,313,1042,336,448,266,185,118,0,29,373,952,313,1042,336,448,266,185,118,0,29,373,952
2024-10-02,13éû,1294,454,840,336,464,287,146,59,0,29,334,931,454,840,336,464,287,146,59,0,29,334,931
2024-10-02,13éûîº,1015,568,447,142,320,331,177,43,0,0,334,682,568,447,142,320,331,177,43,0,0,334,682
2024-10-02,14éû,1866,720,1146,861,320,283,217,150,33,0,277,1589,720,1146,861,320,283,217,150,33,0,277,1589
2024-10-02,14éûîº,1544,562,982,605,305,273,175,150,33,92,225,1226,562,982,605,305,273,175,150,33,92,225,1226
2024-10-02,15éû,1390,583,807,445,154,487,137,132,33,92,239,1059,583,807,445,154,487,137,132,33,92,239,1059
2024-10-02,15éûîº,1150,280,870,500,101,288,130,96,33,0,239,910,280,870,500,101,288,130,96,33,0,239,910
2024-10-02,16éû,1297,272,1025,500,101,468,97,96,33,0,239,1058,272,1025,500,101,468,97,96,33,0,239,1058
2024-10-02,16éûîº,1483,387,1096,583,101,530,111,157,0,33,239,1210,387,1096,583,101,530,111,157,0,33,239,1210
2024-10-02,17éû,2016,659,1357,669,344,735,111,117,39,33,239,1743,659,1357,669,344,735,111,117,39,33,239,1743
2024-10-02,17éûîº,2438,829,1609,934,277,874,133,180,39,221,239,1978,829,1609,934,277,874,133,180,39,221,239,1978
2024-10-02,18éû,2436,843,1593,967,286,711,154,206,111,95,239,2101,843,1593,967,286,711,154,206,111,95,239,2101
2024-10-02,18éûîº,2059,1047,1012,579,446,547,290,85,111,0,86,1972,1047,1012,579,446,547,290,85,111,0,86,1972
2024-10-02,19éû,2184,1020,1164,466,487,721,312,85,111,216,86,1881,1020,1164,466,487,721,312,85,111,216,86,1881
2024-10-02,19éûîº,2120,1081,1039,201,487,721,465,133,111,260,86,1772,1081,1039,201,487,721,465,133,111,260,86,1772
2024-10-02,20éû,1940,1030,910,201,532,597,376,161,71,0,86,1854,1030,910,201,532,597,376,161,71,0,86,1854
2024-10-02,20éûîº,1615,914,701,201,367,406,373,194,71,33,86,1495,914,701,201,367,406,373,194,71,33,86,1495
2024-10-02,21éû,1503,991,512,201,367,391,325,146,71,33,86,1384,991,512,201,367,391,325,146,71,33,86,1384
2024-10-02,21éûîº,922,495,427,203,175,314,156,0,71,33,0,889,495,427,203,175,314,156,0,71,33,0,889
2024-10-02,22éû,776,231,545,203,175,362,35,0,0,0,0,776,231,545,203,175,362,35,0,0,0,0,776
2024-10-02,22éûîº,347,175,172,0,264,48,35,0,0,0,0,348,175,172,0,264,48,35,0,0,0,0,348
2024-10-02,23éû,136,88,48,0,88,48,0,0,0,0,0,137,88,48,0,88,48,0,0,0,0,0,137
2024-10-02,23éûîº,48,0,48,0,0,48,0,0,0,0,0,48,0,48,0,0,48,0,0,0,0,0,48
2024-10-02,24éû,65,65,0,0,0,0,35,29,0,29,0,35,65,0,0,0,0,35,29,0,29,0,35
2024-10-02,24éûîº,148,148,0,0,82,0,35,29,0,29,0,118,148,0,0,82,0,35,29,0,29,0,118
2024-10-02,25éû,148,148,0,0,82,0,35,29,0,29,0,118,148,0,0,82,0,35,29,0,29,0,118
2024-10-02,25éûîº,65,65,0,0,0,0,35,29,0,29,0,35,65,0,0,0,0,35,29,0,29,0,35
2024-10-02,26éû,93,93,0,0,0,0,63,29,0,29,0,63,93,0,0,0,0,63,29,0,29,0,63
2024-10-02,26éûîº,93,93,0,0,0,0,63,29,0,29,0,63,93,0,0,0,0,63,29,0,29,0,63
2024-10-02,27éû,65,65,0,0,0,0,35,29,0,29,0,35,65,0,0,0,0,35,29,0,29,0,35
2024-10-02,27éûîº,65,65,0,0,0,0,35,29,0,29,0,35,65,0,0,0,0,35,29,0,29,0,35
2024-10-02,28éû,65,65,0,0,0,0,35,29,0,29,0,35,65,0,0,0,0,35,29,0,29,0,35
2024-10-02,28éûîº,65,65,0,0,0,0,35,29,0,29,0,35,65,0,0,0,0,35,29,0,29,0,35
2024-10-03,5éû,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-03,5éûîº,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-03,6éû,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-03,6éûîº,146,53,93,0,93,53,0,0,0,0,53,93,53,93,0,93,53,0,0,0,0,53,93
2024-10-03,7éû,146,53,93,0,93,53,0,0,0,0,53,93,53,93,0,93,53,0,0,0,0,53,93
2024-10-03,7éûîº,93,0,93,0,93,0,0,0,0,0,0,93,0,93,0,93,0,0,0,0,0,0,93
2024-10-03,8éû,31,31,0,0,0,0,31,0,0,0,0,31,31,0,0,0,0,31,0,0,0,0,31
2024-10-03,8éûîº,65,65,0,0,0,65,0,0,0,0,0,65,65,0,0,0,65,0,0,0,0,0,65
2024-10-03,9éû,160,68,92,0,68,92,0,0,0,92,68,0,68,92,0,68,92,0,0,0,92,68,0
2024-10-03,9éûîº,697,170,527,256,68,342,31,0,0,92,155,450,170,527,256,68,342,31,0,0,92,155,450
2024-10-03,10éû,832,223,609,256,166,250,57,102,0,92,155,585,223,609,256,166,250,57,102,0,92,155,585
2024-10-03,10éûîº,1019,268,751,426,109,372,0,76,33,126,155,737,268,751,426,109,372,0,76,33,126,155,737
2024-10-03,11éû,1971,402,1569,1006,109,675,70,76,33,95,193,1683,402,1569,1006,109,675,70,76,33,95,193,1683
2024-10-03,11éûîº,1903,316,1587,1006,109,622,37,0,128,95,193,1615,316,1587,1006,109,622,37,0,128,95,193,1615
2024-10-03,12éû,2009,408,1601,877,382,591,0,29,128,125,245,1639,408,1601,877,382,591,0,29,128,125,245,1639
2024-10-03,12éûîº,2176,371,1805,877,545,560,69,28,94,61,311,1802,371,1805,877,545,560,69,28,94,61,311,1802
2024-10-03,13éû,2028,353,1675,877,545,451,91,28,33,61,311,1655,353,1675,877,545,451,91,28,33,61,311,1655
2024-10-03,13éûîº,2197,335,1862,877,657,485,35,107,33,95,375,1726,335,1862,877,657,485,35,107,33,95,375,1726
2024-10-03,14éû,1932,407,1525,990,413,329,33,130,33,61,309,1560,407,1525,990,413,329,33,130,33,61,309,1560
2024-10-03,14éûîº,2003,407,1596,990,413,329,105,130,33,61,309,1632,407,1596,990,413,329,105,130,33,61,309,1632
2024-10-03,15éû,1474,291,1183,432,474,329,105,98,33,61,309,1103,291,1183,432,474,329,105,98,33,61,309,1103
2024-10-03,15éûîº,1537,355,1182,432,474,393,105,132,0,95,309,1133,355,1182,432,474,393,105,132,0,95,309,1133
2024-10-03,16éû,1707,476,1231,432,597,393,153,130,0,95,309,1303,476,1231,432,597,393,153,130,0,95,309,1303
2024-10-03,16éûîº,2021,669,1352,757,454,451,198,160,0,95,309,1616,669,1352,757,454,451,198,160,0,95,309,1616
2024-10-03,17éû,2449,985,1464,914,530,618,225,160,0,95,309,2044,985,1464,914,530,618,225,160,0,95,309,2044
2024-10-03,17éûîº,2425,920,1505,799,508,594,264,187,71,95,309,2021,920,1505,799,508,594,264,187,71,95,309,2021
2024-10-03,18éû,3394,1238,2156,1641,431,732,366,150,71,231,309,2853,1238,2156,1641,431,732,366,150,71,231,309,2853
2024-10-03,18éûîº,3687,1417,2270,1656,645,779,384,120,100,324,309,3054,1417,2270,1656,645,779,384,120,100,324,309,3054
2024-10-03,19éû,3469,1229,2240,1656,585,794,312,93,29,324,309,2836,1229,2240,1656,585,794,312,93,29,324,309,2836
2024-10-03,19éûîº,3215,1090,2125,1330,668,840,238,108,29,154,309,2751,1090,2125,1330,668,840,238,108,29,154,309,2751
2024-10-03,20éû,2590,843,1747,1183,585,491,240,89,0,91,245,2254,843,1747,1183,585,491,240,89,0,91,245,2254
2024-10-03,20éûîº,2424,977,1447,927,654,553,229,59,0,95,245,2083,977,1447,927,654,553,229,59,0,95,245,2083
2024-10-03,21éû,2293,873,1420,927,654,460,191,59,0,95,245,1953,873,1420,927,654,460,191,59,0,95,245,1953
2024-10-03,21éûîº,872,499,373,159,440,148,93,31,0,95,188,622,499,373,159,440,148,93,31,0,95,188,622
2024-10-03,22éû,752,466,286,159,440,61,59,31,0,95,101,589,466,286,159,440,61,59,31,0,95,101,589
2024-10-03,22éûîº,512,347,165,159,207,61,84,0,0,95,101,349,347,165,159,207,61,84,0,0,95,101,349
2024-10-03,23éû,295,130,165,0,207,61,26,0,0,61,68,165,130,165,0,207,61,26,0,0,61,68,165
2024-10-03,23éûîº,87,61,26,0,0,61,26,0,0,61,0,26,61,26,0,0,61,26,0,0,61,0,26
2024-10-03,24éû,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,24éûîº,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,25éû,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,25éûîº,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,26éû,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,26éûîº,324,92,232,0,232,61,30,0,0,205,0,119,92,232,0,232,61,30,0,0,205,0,119
2024-10-03,27éû,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,27éûîº,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,28éû,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-03,28éûîº,293,61,232,0,232,61,0,0,0,205,0,89,61,232,0,232,61,0,0,0,205,0,89
2024-10-04,5éû,441,178,263,78,232,129,0,0,0,205,0,236,178,263,78,232,129,0,0,0,205,0,236
2024-10-04,5éûîº,441,178,263,78,232,129,0,0,0,205,0,236,178,263,78,232,129,0,0,0,205,0,236
2024-10-04,6éû,298,178,120,78,89,129,0,0,0,61,0,236,178,120,78,89,129,0,0,0,61,0,236
2024-10-04,6éûîº,372,116,256,78,225,67,0,0,0,0,0,372,116,256,78,225,67,0,0,0,0,0,372
2024-10-04,7éû,146,116,30,78,0,67,0,0,0,0,0,146,116,30,78,0,67,0,0,0,0,0,146
2024-10-04,7éûîº,235,171,64,78,0,123,0,33,0,0,0,235,171,64,78,0,123,0,33,0,0,0,235
2024-10-04,8éû,202,116,86,78,55,67,0,0,0,0,0,202,116,86,78,55,67,0,0,0,0,0,202
2024-10-04,8éûîº,377,239,138,78,178,119,0,0,0,0,0,377,239,138,78,178,119,0,0,0,0,0,377
2024-10-04,9éû,570,363,207,78,247,119,124,0,0,0,106,464,363,207,78,247,119,124,0,0,0,106,464
2024-10-04,9éûîº,571,364,207,78,247,119,93,32,0,0,106,465,364,207,78,247,119,93,32,0,0,106,465
2024-10-04,10éû,741,442,299,78,247,322,93,0,0,92,106,543,442,299,78,247,322,93,0,0,92,106,543
2024-10-04,10éûîº,707,319,388,78,124,322,181,0,0,92,106,509,319,388,78,124,322,181,0,0,92,106,509
2024-10-04,11éû,693,382,311,78,124,193,297,0,0,0,106,587,382,311,78,124,193,297,0,0,0,106,587
2024-10-04,11éûîº,1459,505,954,597,390,193,246,32,0,0,249,1210,505,954,597,390,193,246,32,0,0,249,1210
2024-10-04,12éû,1440,584,856,335,390,230,419,65,0,0,286,1154,584,856,335,390,230,419,65,0,0,286,1154
2024-10-04,12éûîº,1496,586,910,335,247,274,540,99,0,0,143,1353,586,910,335,247,274,540,99,0,0,143,1353
2024-10-04,13éû,1956,585,1371,590,475,301,396,194,0,0,290,1666,585,1371,590,475,301,396,194,0,0,290,1666
2024-10-04,13éûîº,2153,635,1518,590,475,350,418,269,50,0,290,1864,635,1518,590,475,350,418,269,50,0,290,1864
2024-10-04,14éû,1935,545,1390,590,353,171,466,302,50,0,260,1675,545,1390,590,353,171,466,302,50,0,260,1675
2024-10-04,14éûîº,1807,569,1238,446,428,115,428,337,50,0,222,1585,569,1238,446,428,115,428,337,50,0,222,1585
2024-10-04,15éû,1753,761,992,605,428,121,323,274,0,0,222,1531,761,992,605,428,121,323,274,0,0,222,1531
2024-10-04,15éûîº,1965,700,1265,605,498,348,170,309,33,33,222,1710,700,1265,605,498,348,170,309,33,33,222,1710
2024-10-04,16éû,2026,728,1298,350,674,430,169,367,33,33,222,1770,728,1298,350,674,430,169,367,33,33,222,1770
2024-10-04,16éûîº,1771,623,1148,496,420,321,148,333,50,0,222,1549,623,1148,496,420,321,148,333,50,0,222,1549
2024-10-04,17éû,1957,614,1343,384,517,456,215,334,50,0,222,1735,614,1343,384,517,456,215,334,50,0,222,1735
2024-10-04,17éûîº,2778,830,1948,530,669,708,394,392,84,74,357,2347,830,1948,530,669,708,394,392,84,74,357,2347
2024-10-04,18éû,2931,815,2116,384,819,735,365,427,200,112,357,2462,815,2116,384,819,735,365,427,200,112,357,2462
2024-10-04,18éûîº,2743,894,1849,404,725,890,345,212,166,249,419,2075,894,1849,404,725,890,345,212,166,249,419,2075
2024-10-04,19éû,2959,1180,1779,541,807,1014,358,122,115,462,419,2078,1180,1779,541,807,1014,358,122,115,462,419,2078
2024-10-04,19éûîº,2597,1103,1494,541,598,1002,268,122,65,370,419,1808,1103,1494,541,598,1002,268,122,65,370,419,1808
2024-10-04,20éû,2434,985,1449,541,598,950,157,122,65,263,419,1752,985,1449,541,598,950,157,122,65,263,419,1752
2024-10-04,20éûîº,2331,932,1399,408,598,951,185,122,65,263,419,1648,932,1399,408,598,951,185,122,65,263,419,1648
2024-10-04,21éû,2057,764,1293,408,515,759,186,122,65,180,284,1592,764,1293,408,515,759,186,122,65,180,284,1592
2024-10-04,21éûîº,2357,883,1474,521,656,704,288,122,65,180,337,1838,883,1474,521,656,704,288,122,65,180,337,1838
2024-10-04,22éû,1556,745,811,408,503,397,155,27,65,180,194,1182,745,811,408,503,397,155,27,65,180,194,1182
2024-10-04,22éûîº,896,190,706,0,419,335,76,0,65,44,194,657,190,706,0,419,335,76,0,65,44,194,657
2024-10-04,23éû,509,130,379,0,188,211,44,0,65,44,130,334,130,379,0,188,211,44,0,65,44,130,334
2024-10-04,23éûîº,496,99,397,0,191,195,44,0,65,44,61,390,99,397,0,191,195,44,0,65,44,61,390
2024-10-04,24éû,239,37,202,0,71,133,0,34,0,0,0,239,37,202,0,71,133,0,34,0,0,0,239
2024-10-04,24éûîº,375,173,202,136,71,133,0,34,0,0,0,376,173,202,136,71,133,0,34,0,0,0,376
2024-10-04,25éû,174,37,137,0,71,67,0,34,0,0,0,174,37,137,0,71,67,0,34,0,0,0,174
2024-10-04,25éûîº,139,37,102,0,71,67,0,0,0,0,0,139,37,102,0,71,67,0,0,0,0,0,139
2024-10-04,26éû,67,37,30,0,0,67,0,0,0,0,0,67,37,30,0,0,67,0,0,0,0,0,67
2024-10-04,26éûîº,203,173,30,136,0,67,0,0,0,0,0,204,173,30,136,0,67,0,0,0,0,0,204
2024-10-04,27éû,67,37,30,0,0,67,0,0,0,0,0,67,37,30,0,0,67,0,0,0,0,0,67
2024-10-04,27éûîº,67,37,30,0,0,67,0,0,0,0,0,67,37,30,0,0,67,0,0,0,0,0,67
2024-10-04,28éû,67,37,30,0,0,67,0,0,0,0,0,67,37,30,0,0,67,0,0,0,0,0,67
2024-10-04,28éûîº,67,37,30,0,0,67,0,0,0,0,0,67,37,30,0,0,67,0,0,0,0,0,67
2024-10-05,5éû,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-05,5éûîº,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-05,6éû,146,146,0,0,74,72,0,0,0,0,0,146,146,0,0,74,72,0,0,0,0,0,146
2024-10-05,6éûîº,189,189,0,0,65,124,0,0,0,0,51,137,189,0,0,65,124,0,0,0,0,51,137
2024-10-05,7éû,208,153,55,0,55,124,0,29,0,29,51,127,153,55,0,55,124,0,29,0,29,51,127
2024-10-05,7éûîº,212,117,95,0,55,51,40,30,35,0,51,161,117,95,0,55,51,40,30,35,0,51,161
2024-10-05,8éû,427,87,340,0,300,51,40,0,35,143,153,131,87,340,0,300,51,40,0,35,143,153,131
2024-10-05,8éûîº,489,149,340,0,362,51,40,0,35,143,215,131,149,340,0,362,51,40,0,35,143,215,131
2024-10-05,9éû,458,87,371,0,300,51,71,0,35,143,153,162,87,371,0,300,51,71,0,35,143,153,162
2024-10-05,9éûîº,647,183,464,131,300,144,71,0,0,235,153,258,183,464,131,300,144,71,0,0,235,153,258
2024-10-05,10éû,1065,243,822,131,465,231,133,64,39,305,239,520,243,822,131,465,231,133,64,39,305,239,520
2024-10-05,10éûîº,1873,534,1339,613,557,373,236,94,0,265,239,1369,534,1339,613,557,373,236,94,0,265,239,1369
2024-10-05,11éû,2209,711,1498,393,787,403,432,128,65,176,329,1703,711,1498,393,787,403,432,128,65,176,329,1703
2024-10-05,11éûîº,2668,887,1781,387,1125,617,427,71,39,143,539,1985,887,1781,387,1125,617,427,71,39,143,539,1985
2024-10-05,12éû,2501,796,1705,387,946,530,464,133,39,29,429,2042,796,1705,387,946,530,464,133,39,29,429,2042
2024-10-05,12éûîº,2635,761,1874,387,853,605,569,181,39,155,429,2051,761,1874,387,853,605,569,181,39,155,429,2051
2024-10-05,13éû,2690,721,1969,387,796,773,442,251,39,155,393,2141,721,1969,387,796,773,442,251,39,155,393,2141
2024-10-05,13éûîº,2606,655,1951,387,855,704,367,253,39,122,393,2091,655,1951,387,855,704,367,253,39,122,393,2091
2024-10-05,14éû,2440,560,1880,256,827,780,340,155,79,61,292,2085,560,1880,256,827,780,340,155,79,61,292,2085
2024-10-05,14éûîº,2991,695,2296,563,1058,824,371,133,41,0,393,2597,695,2296,563,1058,824,371,133,41,0,393,2597
2024-10-05,15éû,3580,937,2643,823,1042,923,522,226,41,0,455,3124,937,2643,823,1042,923,522,226,41,0,455,3124
2024-10-05,15éûîº,4184,1162,3022,1100,1292,852,493,258,188,92,393,3699,1162,3022,1100,1292,852,493,258,188,92,393,3699
2024-10-05,16éû,4611,1276,3335,1264,1356,850,619,333,188,92,393,4125,1276,3335,1264,1356,850,619,333,188,92,393,4125
2024-10-05,16éûîº,4625,809,3816,1158,1336,850,743,348,188,92,486,4140,809,3816,1158,1336,850,743,348,188,92,486,4140
2024-10-05,17éû,4950,737,4213,1286,1469,742,887,418,146,92,486,4463,737,4213,1286,1469,742,887,418,146,92,486,4463
2024-10-05,17éûîº,5029,872,4157,1650,1446,803,633,349,146,92,434,4595,872,4157,1650,1446,803,633,349,146,92,434,4595
2024-10-05,18éû,4395,620,3775,1505,1414,543,506,322,104,0,342,4054,620,3775,1505,1414,543,506,322,104,0,342,4054
2024-10-05,18éûîº,4236,430,3806,1505,1451,443,467,263,104,0,342,3894,430,3806,1505,1451,443,467,263,104,0,342,3894
2024-10-05,19éû,3916,498,3418,1329,1281,539,430,230,104,29,240,3646,498,3418,1329,1281,539,430,230,104,29,240,3646
2024-10-05,19éûîº,3889,468,3421,1329,1260,576,387,230,104,122,240,3527,468,3421,1329,1260,576,387,230,104,122,240,3527
2024-10-05,20éû,4250,501,3749,1473,1220,763,425,259,107,92,240,3917,501,3749,1473,1220,763,425,259,107,92,240,3917
2024-10-05,20éûîº,3565,480,3085,1224,1179,514,355,250,42,92,150,3323,480,3085,1224,1179,514,355,250,42,92,150,3323
